City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Celestun,MX,20.8667,-90.4,68.58,81,7,10.69,clear sky
228,Labuhan,ID,-6.8844,112.2051,84.56,74,100,10.33,moderate rain
229,Salinopolis,BR,-0.6136,-47.3561,78.28,87,14,9.8,light rain
230,Sobolevo,RU,54.4299,31.8996,7.57,96,90,3.87,snow
231,Samarai,PG,-10.6167,150.6667,86.27,74,41,4.12,light rain
232,Vardo,NO,70.3705,31.1107,14.0,79,75,16.11,light snow
233,Namibe,AO,-15.1961,12.1522,72.09,68,68,5.3,broken clouds
234,Sola,VU,-13.8833,167.55,84.04,76,100,9.04,overcast clouds
235,Zaranj,AF,30.9667,61.8833,44.6,21,0,4.61,clear sky
236,Alibag,IN,18.6411,72.8792,91.4,46,72,3.44,smoke
237,Flin Flon,CA,54.7682,-101.865,19.99,96,100,5.57,overcast clouds
238,Aklavik,CA,68.2191,-135.0107,-0.4,85,100,1.14,overcast clouds
239,Malpe,IN,13.35,74.7167,89.6,51,5,8.05,clear sky
240,Omboue,GA,-1.5746,9.2618,78.35,86,24,5.08,light rain
241,Trabzon,TR,40.9167,39.8333,51.8,100,75,4.61,broken clouds
242,Tiksi,RU,71.6872,128.8694,-27.42,83,100,11.86,overcast clouds
243,Loandjili,CG,-4.7561,11.8578,78.8,89,40,4.61,scattered clouds
244,Nanortalik,GL,60.1432,-45.2371,31.19,93,100,2.51,overcast clouds
245,Foz Do Iguacu,BR,-25.5478,-54.5881,73.4,100,0,3.44,clear sky
246,Warwick,US,41.7001,-71.4162,28.99,80,1,1.59,clear sky
247,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,94,75,11.5,moderate rain
248,Tonstad,NO,58.6626,6.7169,34.0,95,100,4.47,light snow
249,Black River,JM,18.0264,-77.8487,78.8,83,75,16.11,broken clouds
250,Qui Nhon,VN,13.7667,109.2333,69.06,88,100,26.82,light rain
251,Fuerte Olimpo,PY,-21.0415,-57.8738,76.82,72,88,5.82,overcast clouds
252,Iskateley,RU,67.6803,53.1512,-8.07,91,17,5.06,few clouds
253,Sarny,UA,51.338,26.6019,25.14,98,100,1.97,overcast clouds
254,Sars,RU,56.5502,57.1366,-2.99,90,100,16.51,overcast clouds
255,Phan Thiet,VN,10.9333,108.1,83.32,58,94,12.5,overcast clouds
256,Norman Wells,CA,65.282,-126.8329,-2.2,84,20,2.3,few clouds
257,Lagoa,PT,39.05,-27.9833,61.61,90,78,7.38,light rain
258,Kavaratti,IN,10.5669,72.642,82.2,72,93,5.91,heavy intensity rain
259,Port Hedland,AU,-20.3167,118.5667,96.8,49,3,13.8,clear sky
260,Prainha,BR,-1.8,-53.48,72.52,94,41,1.9,scattered clouds
261,Goundi,TD,9.3627,17.366,74.93,19,82,5.23,broken clouds
262,Kavieng,PG,-2.5744,150.7967,84.13,68,100,1.72,light rain
263,Hadejia,NG,12.4498,10.0444,66.51,27,0,8.41,clear sky
264,Vinderup,DK,56.4752,8.7908,42.01,100,90,13.8,drizzle
265,Shingu,JP,33.7333,135.9833,46.4,42,75,5.75,broken clouds
266,Port Lincoln,AU,-34.7333,135.8667,67.82,70,2,22.41,clear sky
267,Katobu,ID,-4.9408,122.5276,86.22,75,95,2.42,moderate rain
268,Bubaque,GW,11.2833,-15.8333,77.0,51,0,23.31,clear sky
269,Mjolby,SE,58.326,15.1237,30.2,93,0,8.05,clear sky
270,North Bend,US,43.4065,-124.2243,48.0,100,75,5.75,mist
271,Virginia Beach,US,36.8529,-75.978,30.2,80,1,4.59,clear sky
272,Dongsheng,CN,39.8161,109.9776,16.84,71,0,23.4,clear sky
273,Gat,IL,31.61,34.7642,66.99,50,0,5.99,clear sky
274,Laguna,US,38.421,-121.4238,46.99,91,100,4.16,overcast clouds
275,Gamba,GA,-2.65,10.0,78.55,85,15,4.85,few clouds
276,Chiang Khong,TH,20.2613,100.4046,77.0,53,0,5.75,clear sky
277,Plouzane,FR,48.3833,-4.6167,41.0,81,90,3.44,overcast clouds
278,Porto Novo,BJ,6.4965,2.6036,78.8,94,40,4.61,scattered clouds
279,Gainesville,US,29.6516,-82.3248,46.0,87,1,3.62,clear sky
280,Durban,ZA,-29.8579,31.0292,77.0,69,0,9.22,clear sky
281,Tezu,IN,27.9167,96.1667,75.24,42,79,3.87,broken clouds
282,Cayenne,GF,4.9333,-52.3333,78.8,94,75,8.05,light rain
283,General Pico,AR,-35.6566,-63.7568,64.78,94,100,9.04,moderate rain
284,Hassleholm,SE,56.1591,13.7664,35.6,100,90,6.91,overcast clouds
285,Fortuna,US,40.5982,-124.1573,50.0,100,90,3.74,overcast clouds
286,Asau,RO,46.4333,26.4,30.2,100,90,6.91,mist
287,Varhaug,NO,58.6147,5.6457,34.0,100,75,8.05,light rain
288,Lovozero,RU,68.005,35.0117,3.43,91,3,8.88,clear sky
289,Sumenep,ID,-7.0167,113.8667,86.27,69,41,7.52,moderate rain
290,Altamira,BR,-3.2033,-52.2064,70.54,96,97,1.74,overcast clouds
291,Kentau,KZ,43.5206,68.5094,39.38,59,0,2.62,clear sky
292,Kjollefjord,NO,70.9457,27.3465,17.6,79,75,28.77,broken clouds
293,Annau,TM,37.8876,58.516,48.2,49,0,2.3,clear sky
294,Porto Walter,BR,-8.2686,-72.7439,71.96,97,100,2.04,overcast clouds
295,Ginir,ET,7.1333,40.7,65.01,47,97,5.82,overcast clouds
296,Dryden,CA,49.7833,-92.7503,24.8,93,90,6.91,overcast clouds
297,Lata,PT,40.1629,-8.3327,42.01,93,0,2.3,clear sky
298,Nouadhibou,MR,20.931,-17.0347,60.8,67,100,24.16,sand
299,Belyy Yar,RU,53.6039,91.3903,21.2,73,0,6.71,light snow
300,Phalaborwa,ZA,-23.943,31.1411,75.2,83,72,9.22,broken clouds
301,Pachino,IT,36.7186,15.0907,53.01,100,100,2.3,light rain
302,Parry Sound,CA,45.3501,-80.033,33.01,93,100,4.85,overcast clouds
303,Orocue,CO,4.7912,-71.3354,73.69,88,100,6.24,overcast clouds
304,Sisimiut,GL,66.9395,-53.6735,29.14,96,100,18.63,overcast clouds
305,Warri,NG,5.5167,5.75,79.66,87,6,2.04,clear sky
306,Ixtapa,MX,20.7,-105.2,63.66,73,2,1.92,clear sky
307,Teguise,ES,29.0605,-13.564,59.0,72,20,17.27,few clouds
308,Kaspiyskiy,RU,45.3929,47.3707,33.91,89,100,12.59,overcast clouds
309,Toyooka,JP,35.5333,134.8333,35.6,87,75,1.14,broken clouds
310,Dickinson,US,29.4608,-95.0513,37.99,87,90,11.5,overcast clouds
311,Sorland,NO,67.667,12.6934,33.8,75,75,12.66,broken clouds
312,Mahebourg,MU,-20.4081,57.7,84.2,89,40,11.5,light rain
313,Beira,MZ,-19.8436,34.8389,84.2,84,40,5.75,scattered clouds
314,Bambous Virieux,MU,-20.3428,57.7575,86.0,89,40,11.5,light rain
315,Ibra,OM,22.6906,58.5334,69.08,20,14,1.32,few clouds
316,Lithakia,GR,37.7167,20.8333,66.2,77,75,12.66,broken clouds
317,Hammerfest,NO,70.6634,23.6821,19.4,58,0,10.36,clear sky
318,Paraisopolis,BR,-22.5542,-45.78,68.0,96,100,1.45,overcast clouds
319,Ngama,TD,11.7833,17.1667,71.76,21,0,11.07,clear sky
320,Grindavik,IS,63.8424,-22.4338,19.4,73,0,6.91,clear sky
